"","Account.Number","Organization","City","City.Location","Country","CDP.Region","Country.Name","Country.Code.2","Country.Code.3","Country.Numeric.code","lat","long","Location.Source"
"1",58671,"Helsingør Kommune / Elsinore Municipality","Helsingør","POINT (12.5921 56.0308)","Denmark","Europe","Denmark","DK","DNK",208,56.0308,12.5921,"CDP Disclosure"
"2",59167,"Municipalidad de Providencia","Providencia","POINT (-70.6092 -33.4313)","Chile","Latin America","Chile","CL","CHL",152,-33.4313,-70.6092,"CDP Disclosure"
"3",50553,"City of Fresno","Fresno","POINT (-119.773 36.7468)","United States of America","North America","United States Of America","US","USA",840,36.7468,-119.773,"CDP Disclosure"
"4",826407,"Munícipio de Mirandela","Mirandela","POINT (-7.1753 41.51)","Portugal","Europe","Portugal","PT","PRT",620,41.51,-7.1753,"CDP Disclosure"
"5",60375,"Gobiernación del Archipiélago de San Andrés","Archipiélago de San Andrés","POINT (-81.6976 12.5794)","Colombia","Latin America","Colombia","CO","COL",170,12.5795978,-81.6977037998096,"World Cities dataset"
"6",54337,"Greater Amman Municipality","Amman","POINT (35.9284 31.9454)","Jordan","Middle East","Jordan","JO","JOR",400,31.9454,35.9284,"CDP Disclosure"
"7",55331,"Município de Ílhavo","Ílhavo","POINT (-7.58 38.85)","Portugal","Europe","Portugal","PT","PRT",620,38.85,-7.58,"CDP Disclosure"
"8",74414,"Boulder County","Boulder County","POINT (-105.5 40.15)","United States of America","North America","United States Of America","US","USA",840,40.15,-105.5,"CDP Disclosure"
"9",831618,"Yaoundé 4","Yaoundé 4","POINT (11.5167 3.8667)","Cameroon","Africa","Cameroon","CM","CMR",120,3.8667,11.5167,"CDP Disclosure"
"10",60603,"City of Prince George, BC","Prince George","POINT (-122.75 53.9171)","Canada","North America","Canada","CA","CAN",124,53.9171,-122.75,"CDP Disclosure"
"11",10495,"City of Las Vegas","Las Vegas","POINT (-115.14 36.1699)","United States of America","North America","United States Of America","US","USA",840,36.1699,-115.14,"CDP Disclosure"
"12",831811,"Municipalidad de Zacatecoluca","Zacatecoluca","POINT (-88.8667 13.5)","El Salvador","Latin America","El Salvador","SV","SLV",222,13.5,-88.8667,"CDP Disclosure"
"13",54114,"City of Asheville","Asheville","POINT (-82.5515 35.5951)","United States of America","North America","United States Of America","US","USA",840,35.5951,-82.5515,"CDP Disclosure"
"14",50383,"Prefeitura de Sorocaba","Sorocaba","POINT (-47.4221 -23.4775)","Brazil","Latin America","Brazil","BR","BRA",76,-23.4775,-47.4221,"CDP Disclosure"
"15",57509,"Prefeitura Niterói","Niterói","POINT (-43.1184 -22.8928)","Brazil","Latin America","Brazil","BR","BRA",76,-22.8928,-43.1184,"CDP Disclosure"
"16",50396,"Prefeitura Municipal de Santos","Santos","POINT (-46.3289 -23.9679)","Brazil","Latin America","Brazil","BR","BRA",76,-23.9679,-46.3289,"CDP Disclosure"
"17",69985,"Sillamäe","Sillamäe","POINT (27.7617 59.3958)","Estonia","Europe","Estonia","EE","EST",233,59.3958,27.7617,"CDP Disclosure"
